analysis,o2_cap,perchlorate_cap,ngam_delta,ngam_flux,method,growth,pcr_flux,cld_flux,status
pfba_crosscheck,unlimited,0,,9.0,fba,0.117966,0.0,0.0,optimal
pfba_crosscheck,unlimited,0,,9.0,pfba,0.117966,0.0,0.0,optimal
pfba_crosscheck,unlimited,20,,9.0,fba,0.117966,-0.0,-0.0,optimal
pfba_crosscheck,unlimited,20,,9.0,pfba,0.117966,0.0,0.0,optimal
pfba_crosscheck,6,0,,9.0,fba,0.117966,0.0,0.0,optimal
pfba_crosscheck,6,0,,9.0,pfba,0.117966,0.0,0.0,optimal
pfba_crosscheck,6,20,,9.0,fba,0.117966,-0.0,-0.0,optimal
pfba_crosscheck,6,20,,9.0,pfba,0.117966,0.0,0.0,optimal
pfba_crosscheck,4,0,,9.0,fba,0.079929,0.0,0.0,optimal
pfba_crosscheck,4,0,,9.0,pfba,0.079929,0.0,0.0,optimal
pfba_crosscheck,4,20,,9.0,fba,0.105892,0.96991,0.96991,optimal
pfba_crosscheck,4,20,,9.0,pfba,0.105892,0.96991,0.96991,optimal
pfba_crosscheck,2,0,,9.0,fba,0.025244,0.0,0.0,optimal
pfba_crosscheck,2,0,,9.0,pfba,0.025244,0.0,0.0,optimal
pfba_crosscheck,2,20,,9.0,fba,0.031615,0.49102,0.49102,optimal
pfba_crosscheck,2,20,,9.0,pfba,0.031615,0.49102,0.49102,optimal
pfba_crosscheck,1.5,0,,9.0,fba,0.008538,0.0,0.0,optimal
pfba_crosscheck,1.5,0,,9.0,pfba,0.008538,0.0,0.0,optimal
pfba_crosscheck,1.5,20,,9.0,fba,0.013046,0.37129,0.37129,optimal
pfba_crosscheck,1.5,20,,9.0,pfba,0.013046,0.37129,0.37129,optimal
pfba_crosscheck,1.3,0,,9.0,fba,0.001856,0.0,0.0,optimal
pfba_crosscheck,1.3,0,,9.0,pfba,0.001856,0.0,0.0,optimal
pfba_crosscheck,1.3,20,,9.0,fba,0.005618,0.3234,0.3234,optimal
pfba_crosscheck,1.3,20,,9.0,pfba,0.005618,0.3234,0.3234,optimal
pfba_crosscheck,1.25,0,,9.0,fba,0.000186,0.0,0.0,optimal
pfba_crosscheck,1.25,0,,9.0,pfba,0.000186,0.0,0.0,optimal
pfba_crosscheck,1.25,20,,9.0,fba,0.003761,0.31143,0.31143,optimal
pfba_crosscheck,1.25,20,,9.0,pfba,0.003761,0.31143,0.31143,optimal
pfba_crosscheck,1.2,0,,9.0,fba,infeasible,,,infeasible
pfba_crosscheck,1.2,0,,9.0,pfba,infeasible,,,infeasible
pfba_crosscheck,1.2,20,,9.0,fba,0.001905,0.29946,0.29946,optimal
pfba_crosscheck,1.2,20,,9.0,pfba,0.001905,0.29946,0.29946,optimal
ngam_sensitivity,1.2,0,-0.2,7.2,fba,0.01188,0.0,0.0,optimal
ngam_sensitivity,1.2,20,-0.2,7.2,fba,0.015617,0.29556,0.29556,optimal
ngam_sensitivity,1.2,0,-0.1,8.1,fba,0.005197,0.0,0.0,optimal
ngam_sensitivity,1.2,20,-0.1,8.1,fba,0.008761,0.29751,0.29751,optimal
ngam_sensitivity,1.2,0,0.0,9.0,fba,infeasible,,,infeasible
ngam_sensitivity,1.2,20,0.0,9.0,fba,0.001905,0.29946,0.29946,optimal
ngam_sensitivity,1.2,0,0.1,9.9,fba,infeasible,,,infeasible
ngam_sensitivity,1.2,20,0.1,9.9,fba,infeasible,,,infeasible
ngam_sensitivity,1.2,0,0.2,10.8,fba,infeasible,,,infeasible
ngam_sensitivity,1.2,20,0.2,10.8,fba,infeasible,,,infeasible
